搭档	4692	0.1303478164240471	0.1303478164240471
好友	3771	0.10476164018224247	0.23510945660628957
队友	1758	0.04883875986220691	0.2839482164684965
朋友	1681	0.04669963329258806	0.3306478497610846
丈夫	1431	0.03975441715746194	0.3704022669185465
妻子	1198	0.03328147571952439	0.4036837426380709
师傅	986	0.02739193243693744	0.4310756750750083
儿子	972	0.027003000333370376	0.4580786754083787
母亲	922	0.02561395710634515	0.4836926325147239
同学	698	0.01939104344927214	0.5030836759639961
弟弟	678	0.01883542615846205	0.5219191021224581
女儿	609	0.01691854650516724	0.5388376486276253
前女友	594	0.016501833537059675	0.555339482164685
哥哥	580	0.01611290143349261	0.5714523835981776
合作	573	0.01591843538170908	0.5873708189798867
前男友	573	0.01591843538170908	0.6032892543615959
同门	412	0.011445716190687854	0.6147349705522838
妹妹	387	0.010751194577175242	0.625486165129459
祖父	338	0.00938993221469052	0.6348760973441495
传闻不和	337	0.009362151350150017	0.6442382486942996
恩师	327	0.009084342704744971	0.6533225913990446
姐姐	314	0.008723191465718413	0.662045782864763
前夫	308	0.008556506278475385	0.6706022891432384
密友	299	0.008306478497610846	0.6789087676408492
前妻	285	0.007917546394043783	0.6868263140348929
孙子	278	0.007723080342260251	0.6945493943771531
学生	268	0.007445271696855206	0.7019946660740083
绯闻女友	249	0.00691743527058562	0.7089121013445939
绯闻	244	0.006778530947883098	0.715690632292477
绯闻男友	227	0.006306256250694521	0.7219968885431715
长子	220	0.00611179019891099	0.7281086787420824
弟子	217	0.006028447605289477	0.7341371263473718
父亲	185	0.005139459939993332	0.7392765862873651
侄子	182	0.005056117346371819	0.7443327036337369
老师	154	0.004278253139237693	0.7486109567729746
战友	153	0.0042504722746971885	0.7528614290476718
次子	153	0.0042504722746971885	0.757111901322369
偶像	151	0.0041949105456161795	0.7613068118679852
闺蜜	147	0.004083787087454161	0.7653905989554394
女友	133	0.0036948549838870985	0.7690854539393265
儿媳	133	0.0036948549838870985	0.7727803089232136
男友	132	0.003667074119346594	0.7764473830425602
大哥	115	0.0031947994221580176	0.7796421824647183
孙女	111	0.0030836759639959995	0.7827258584287142
公公	110	0.003055895099455495	0.7857817535281697
昔日情敌	109	0.0030281142349149904	0.7888098677630847
老乡	103	0.0028614290476719636	0.7916712968107567
叔叔	101	0.0028058673185909545	0.7944771641293477
sj成员	99	0.0027503055895099454	0.7972274697188576
女婿	95	0.0026391821313479277	0.7998666518502056
同事	94	0.002611401266807423	0.802478053117013
祖母	93	0.0025836204022669186	0.8050616735192799
长女	92	0.002555839537726414	0.8076175130570064
二哥	91	0.0025280586731859095	0.8101455717301923
教练	91	0.0025280586731859095	0.8126736304033783
三子	87	0.0024169352150238918	0.8150905656184021
徒弟	87	0.0024169352150238918	0.8175075008334259
侄女	82	0.002278030892321369	0.8197855317257473
前队友	72	0.002000222246916324	0.8217857539726636
第一任妻子	71	0.0019724413823758195	0.8237581953550395
情敌	69	0.0019168796532948106	0.8256750750083343
戏曲搭档	68	0.001889098788754306	0.8275641737970886
组合成员	65	0.0018057561951327925	0.8293699299922214
次女	64	0.0017779753305922881	0.8311479053228137
第二任妻子	64	0.0017779753305922881	0.832925880653406
外甥	62	0.001722413601511279	0.8346482942549173
舅舅	62	0.001722413601511279	0.8363707078564285
婆婆	62	0.001722413601511279	0.8380931214579398
现任妻子	61	0.0016946327369707745	0.8397877541949106
姑姑	60	0.00166685187243027	0.8414546060673409
师弟	59	0.0016390710078897656	0.8430936770752306
影视搭档	59	0.0016390710078897656	0.8447327480831204
对手	59	0.0016390710078897656	0.8463718190910101
合作伙伴	57	0.0015835092788087566	0.8479553283698189
外祖父	55	0.0015279475497277475	0.8494832759195466
伯伯	55	0.0015279475497277475	0.8510112234692744
师妹	52	0.001444604956106234	0.8524558284253806
女双搭档	49	0.0013612623624847204	0.8538170907878653
四哥	47	0.0013057006334037116	0.855122791421269
师兄	47	0.0013057006334037116	0.8564284920546728
旧爱	46	0.001277919768863207	0.8577064118235359
同僚	44	0.001222358039782198	0.8589287698633181
四子	44	0.001222358039782198	0.8601511279031003
师姐	43	0.0011945771752416936	0.8613457050783421
相声搭档	43	0.0011945771752416936	0.8625402822535838
三弟	42	0.001166796310701189	0.863707078564285
三哥	41	0.0011390154461606845	0.8648460940104457
传人	41	0.0011390154461606845	0.8659851094566063
外甥女	40	0.00111123458162018	0.8670963440382266
第一任丈夫	40	0.00111123458162018	0.8682075786198468
第二任丈夫	40	0.00111123458162018	0.869318813201467
伯乐	38	0.001055672852539171	0.8703744860540061
大姐	38	0.001055672852539171	0.8714301589065453
四弟	37	0.0010278919879986666	0.872458050894544
合作演员	36	0.001000111123458162	0.8734581620180022
继母	36	0.001000111123458162	0.8744582731414604
戏曲合作	35	0.0009723302589176575	0.875430603400378
外孙	35	0.0009723302589176575	0.8764029336592957
岳母	35	0.0009723302589176575	0.8773752639182133
皇后	34	0.000944549394377153	0.8783198133125905
师生	34	0.000944549394377153	0.8792643627069676
二弟	34	0.000944549394377153	0.8802089121013448
翻版	33	0.0009167685298366485	0.8811256806311815
外孙女	33	0.0009167685298366485	0.8820424491610181
男双搭档	32	0.0008889876652961441	0.8829314368263143
现任丈夫	31	0.0008612068007556395	0.8837926436270699
骂战	31	0.0008612068007556395	0.8846538504278255
师父	31	0.0008612068007556395	0.8855150572285811
五弟	31	0.0008612068007556395	0.8863762640293368
苏打绿成员	30	0.000833425936215135	0.8872096899655519
堂弟	30	0.000833425936215135	0.8880431159017671
同门师兄	30	0.000833425936215135	0.8888765418379823
